Servicedescription;Totalsales;Giorni Prenotazione;Compagnia;Travel From;Travel To;Tipoviaggio
Hotel;221,05;5;HILTON GARDEN INN KO;KONYA;KONYA;No_Tipoviaggio
Hotel;332,58;10;IBIS MOUSSAFIR AGADI;AGADIR;AGADIR;No_Tipoviaggio
Hotel;61,3;1;IBIS BUDAPEST AERO;BUDAPEST;BUDAPEST;No_Tipoviaggio
Hotel;191,7;2;BEST WESTERN KER LAN;BRUZ;BRUZ;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
Hotel;250;2;BOHEM ART;BUDAPEST;BUDAPEST;No_Tipoviaggio
Auto;193,61;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
Hotel;411;3;CROWNE PLAZA TOULOUS;TOULOUSE;TOULOUSE;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Auto;93,94;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Aereo;111,84;1;V7;CATANIA;CAGLIARI;OW
Hotel;411;3;CROWNE PLAZA TOULOUS;TOULOUSE;TOULOUSE;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;65,6;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
Hotel;84,98;1;IBIS STYLES HYERES C;HYERES;HYERES;No_Tipoviaggio
Hotel;-239,51;2;BRIDGE;LONDRA;LONDRA;No_Tipoviaggio
Hotel;221;5;HILTON GARDEN INN KO;KONYA;KONYA;No_Tipoviaggio
FFSS;56,1;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;65,6;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
Aereo;41,12;1;V7;CAGLIARI;CATANIA;OW
Aereo;46,26;1;V7;CAGLIARI;CATANIA;OW
Aereo;133,12;1;V7;CAGLIARI;CATANIA;OW
Aereo;162,79;2;AZ;CATANIA;CAGLIARI;OW
FFSS;78,3;1;FFSS;ROMA;GENOVA;No_Tipoviaggio
