Totalsales;Travel To
221,05;KONYA
332,58;AGADIR
61,3;BUDAPEST
191,7;BRUZ
14;FIUMICINO
14;ROMA
250;BUDAPEST
193,61;No_Travel To
14;FIUMICINO
14;ROMA
411;TOULOUSE
107,1;ROMA
107,1;MILANO
102,6;VENEZIA
102,6;ROMA
93,94;No_Travel To
111,84;CAGLIARI
411;TOULOUSE
102,6;VENEZIA
65,6;ROMA
84,98;HYERES
-239,51;LONDRA
221;KONYA
56,1;ROMA
65,6;BOLOGNA
41,12;CATANIA
46,26;CATANIA
133,12;CATANIA
162,79;CAGLIARI
78,3;GENOVA
76,5;ROMA
42,7;No_Travel To
264;DIEGEM
107,1;MILANO
107,1;ROMA
328,05;MILANO
402,58;No_Travel To
504,42;No_Travel To
84,98;HYERES
51,3;ROMA
51,3;NAPOLI
136,66;ATENE
532;ATENE
107,1;MILANO
107,1;ROMA
256,5;MILANO
139,39;TRAPANI
634,68;No_Travel To
114;TRENTO
69;ROMA
45;BOLOGNA
107,1;MILANO
107,1;ROMA
366;AIX EN PROVENCE
113,65;PARAY VIEILLE P
107,1;ROMA
107,1;MILANO
56,1;ROMA
2,6;ROMA
65,6;BOLOGNA
2,6;LANUVIO
131,84;CAGLIARI
181,62;No_Travel To
1775,39;No_Travel To
1012,33;AMMAN
9;SALERNO
51,3;NAPOLI
39;ROMA
31,4;BOLOGNA
102,6;ROMA
27,6;PADOVA
242,73;No_Travel To
256,72;No_Travel To
102,6;VENEZIA
102,6;ROMA
158,91;No_Travel To
426,56;No_Travel To
248;No_Travel To
1042;ATENE
189,11;No_Travel To
272,45;No_Travel To
70,7;LA SPEZIA
70,7;ROMA
352,67;No_Travel To
14;ROMA
54;ROMA
14;FIUMICINO
54;NAPOLI
342,61;No_Travel To
119;MILANO
119;ROMA
114;TRENTO
69;ROMA
45;BOLOGNA
90,17;FIUMICINO
102,6;VENEZIA
102,6;ROMA
71,25;DRAVEIL
149,73;VENEZIA
133,18;PALERMO
411;TOULOUSE
51,3;NAPOLI
51,3;NAPOLI
29;GENOVA
7,75;VERONA
30,6;MILANO
51,3;ROMA
51,3;NAPOLI
79,3;ATENE
242,84;No_Travel To
1042;ATENE
532;ATENE
1042;ATENE
-1042;ATENE
153,57;No_Travel To
153,57;No_Travel To
54;ROMA
54;NAPOLI
318,09;COPENHAGEN
301,02;No_Travel To
78,93;No_Travel To
102,6;VENEZIA
102,6;ROMA
102,6;VENEZIA
102,6;ROMA
102,6;VENEZIA
102,6;ROMA
114;VENEZIA
114;ROMA
139;BRUXELLES
318,09;COPENHAGEN
107,1;MILANO
107,1;ROMA
39,5;ROMA
39,5;NAPOLI
98,1;ROMA
27,6;BRESCIA
107,1;MILANO
1973,14;CAYENNE
120,28;PARIGI
95;PARAY VIEILLE P
93,6;ROMA
93,6;PADOVA
-107,1;MILANO
107,1;MILANO
201,56;FIUMICINO
203,29;No_Travel To
297,39;No_Travel To
14,4;NOVARA
107,1;MILANO
107,1;ROMA
14,4;MILANO
14;ROMA
14;FIUMICINO
134,08;AGADIR
-134,08;AGADIR
156;No_Travel To
107,1;MILANO
107,1;ROMA
102,6;VENEZIA
19,3;TRIESTE
67,5;MILANO
107,1;ROMA
74;ROMA
130;ROMA
39,5;ROMA
39,5;FIRENZE
215,95;No_Travel To
14;ROMA
14;FIUMICINO
2599,96;No_Travel To
43,3;ATENE
250;BUDAPEST
258,47;BUDAPEST
-250;BUDAPEST
330;BELGRADE
-330;BELGRADE
387,21;No_Travel To
885,67;AMMAN
4,8;BOLOGNA
-56,1;BOLOGNA
51,3;NAPOLI
452,17;No_Travel To
250;BUDAPEST
299,02;No_Travel To
9;SALERNO
51,3;NAPOLI
39;ROMA
52,3;ROMA
52,3;FIRENZE
65,6;ROMA
70;MEDIOPADANA
39,5;ROMA
39,5;NAPOLI
278,08;No_Travel To
98,05;MILANO
-90;VENEZIA
108;ROMA
79,8;ROMA
27,6;BRESCIA
107,1;MILANO
51,3;ROMA
51,3;NAPOLI
102,6;VENEZIA
102,6;ROMA
247,22;PARIGI
136;PARAY VIEILLE P
76;ATENE
107,1;TRIESTE
102,6;ROMA
7,55;VERCELLI
119;MILANO
107,1;ROMA
14,7;MILANO
260,8;No_Travel To
260,8;No_Travel To
114;VENEZIA
102,6;ROMA
107,1;MILANO
107,1;ROMA
114,65;TRAPANI
119;MILANO
119;ROMA
51,3;ROMA
51,3;NAPOLI
326,35;CATANIA
137,58;FIUMICINO
300,19;KONYA
132,08;CAGLIARI
132,08;CAGLIARI
132,08;CAGLIARI
137,58;CAGLIARI
137,58;CAGLIARI
132,08;CAGLIARI
302,86;TEL AVIV
132,08;CAGLIARI
750,09;AGADIR
306,35;BUDAPEST
90,88;VENEZIA
137,58;CAGLIARI
132,08;CAGLIARI
985,87;RENNES
60;CAGLIARI
162,79;CAGLIARI
132,08;CAGLIARI
132,08;CAGLIARI
256,75;BUDAPEST
137,58;CAGLIARI
132,08;CAGLIARI
132,08;CAGLIARI
137,58;FIUMICINO
429,42;TOLOUSE
132,08;FIUMICINO
132,08;FIUMICINO
132,08;CAGLIARI
551,13;TORINO
132,08;CAGLIARI
120;CATANIA
326,35;CATANIA
137,58;FIUMICINO
429,42;TOLOUSE
132,08;FIUMICINO
404,31;ESENBOGA
335,82;NIZZA
137,58;FIUMICINO
300,19;KONYA
132,08;CAGLIARI
132,08;FIUMICINO
132,08;FIUMICINO
132,08;CAGLIARI
132,08;FIUMICINO
151,8;FIUMICINO
60;CAGLIARI
892,31;ESENBOGA
